epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1379.13,2.13642,0.92472,0.82073,0.95175,0.83168,0.88389,0.42591,1.94813,0.86284,0.82367,0.000485566,0.000485566,0.000485566
43,1411.49,2.12326,0.92618,0.81825,0.92585,0.85149,0.87236,0.38444,1.99681,0.79794,0.81806,0.000466163,0.000466163,0.000466163
44,1443.86,2.11765,0.88944,0.8261,0.94409,0.83593,0.89388,0.40724,1.99601,0.77386,0.81734,0.000446819,0.000446819,0.000446819
45,1476.22,2.17774,0.88833,0.82666,0.89456,0.87129,0.89274,0.42568,1.93628,0.75808,0.81341,0.000427565,0.000427565,0.000427565
46,1508.54,2.11464,0.86599,0.79714,0.91567,0.86004,0.84966,0.3885,2.01992,0.80479,0.82541,0.00040843,0.00040843,0.00040843
47,1540.85,2.1358,0.85649,0.81727,0.90397,0.86139,0.87264,0.44073,1.90108,0.80893,0.81669,0.000389445,0.000389445,0.000389445
48,1574.72,2.06982,0.83727,0.81959,0.91507,0.82178,0.87018,0.41812,1.91969,0.78078,0.82146,0.000370637,0.000370637,0.000370637
49,1607.23,1.94459,0.79236,0.83264,0.90603,0.83168,0.85988,0.40433,1.91658,0.77008,0.81525,0.000352037,0.000352037,0.000352037
50,1639.7,1.92633,0.7417,0.81248,0.91208,0.8217,0.84558,0.43045,1.88025,0.78353,0.82438,0.000333672,0.000333672,0.000333672
51,1672.05,2.04666,0.81617,0.80591,0.91267,0.82782,0.85271,0.42776,1.86083,0.7735,0.82555,0.000315572,0.000315572,0.000315572
52,1704.44,2.01625,0.77585,0.81385,0.95301,0.86139,0.90604,0.44082,1.87992,0.76469,0.81627,0.000297763,0.000297763,0.000297763
53,1738.36,2.03826,0.79841,0.8073,0.93383,0.88119,0.9048,0.4303,1.89985,0.74336,0.82236,0.000280275,0.000280275,0.000280275
54,1770.68,2.0315,0.79897,0.80911,0.93739,0.85149,0.89778,0.42268,1.91582,0.76291,0.81864,0.000263132,0.000263132,0.000263132
55,1802.97,1.98134,0.83629,0.79573,0.92666,0.89109,0.89827,0.44128,1.8547,0.74437,0.81659,0.000246363,0.000246363,0.000246363
56,1836.97,2.04913,0.78838,0.80916,0.94347,0.87129,0.92194,0.4686,1.84605,0.73055,0.81325,0.000229993,0.000229993,0.000229993
57,1870.8,1.97686,0.74488,0.79621,0.95597,0.89109,0.9067,0.44284,1.83869,0.76022,0.81537,0.000214046,0.000214046,0.000214046
58,1903.08,2.01796,0.74935,0.8127,0.95411,0.91089,0.9257,0.44326,1.8344,0.73075,0.81997,0.000198548,0.000198548,0.000198548
59,1935.36,1.92418,0.75777,0.7989,0.93375,0.88119,0.88854,0.4405,1.85909,0.7308,0.81937,0.000183523,0.000183523,0.000183523
60,1967.69,1.90845,0.75554,0.81172,0.91827,0.88997,0.90064,0.44605,1.8519,0.7436,0.81754,0.000168994,0.000168994,0.000168994
61,2000.03,1.84441,0.72025,0.80612,0.94579,0.8638,0.89493,0.45399,1.79955,0.72409,0.81302,0.000154982,0.000154982,0.000154982
62,2032.37,1.88851,0.7321,0.79576,0.959,0.86139,0.92251,0.47071,1.77993,0.71267,0.80929,0.00014151,0.00014151,0.00014151
63,2066.37,1.98056,0.73186,0.79674,0.93521,0.85755,0.89297,0.44381,1.83752,0.71763,0.81996,0.000128599,0.000128599,0.000128599
64,2098.69,1.90782,0.74179,0.79924,0.92584,0.88119,0.90932,0.47228,1.75507,0.70057,0.81344,0.000116268,0.000116268,0.000116268
65,2132.62,1.9163,0.72058,0.80175,0.9361,0.87026,0.90293,0.45223,1.78036,0.71679,0.81289,0.000104537,0.000104537,0.000104537
66,2165.62,1.71376,0.70094,0.81322,0.91657,0.87129,0.878,0.44308,1.79695,0.77217,0.81371,9.34225e-05,9.34225e-05,9.34225e-05
67,2197.88,1.71018,0.67759,0.81455,0.93137,0.87129,0.89012,0.44733,1.76971,0.76443,0.81069,8.29431e-05,8.29431e-05,8.29431e-05
68,2230.19,1.71153,0.66704,0.81916,0.93656,0.87704,0.89361,0.4349,1.78306,0.74628,0.809,7.31145e-05,7.31145e-05,7.31145e-05
69,2262.68,1.64989,0.65625,0.82084,0.92368,0.87129,0.87899,0.45777,1.71045,0.71948,0.80932,6.39518e-05,6.39518e-05,6.39518e-05
70,2295.02,1.69477,0.65296,0.81024,0.93939,0.88119,0.90685,0.47223,1.73383,0.7207,0.80905,5.54691e-05,5.54691e-05,5.54691e-05
71,2327.38,1.63298,0.63931,0.79849,0.93447,0.87129,0.87485,0.46943,1.75086,0.73726,0.80935,4.76796e-05,4.76796e-05,4.76796e-05
72,2359.71,1.65683,0.64082,0.82105,0.90606,0.85952,0.8683,0.45468,1.76235,0.75549,0.81006,4.05953e-05,4.05953e-05,4.05953e-05
73,2392.06,1.63798,0.6144,0.82151,0.91999,0.87129,0.89041,0.46789,1.70926,0.74983,0.8073,3.4227e-05,3.4227e-05,3.4227e-05
74,2424.36,1.60495,0.62953,0.81954,0.92717,0.89109,0.90567,0.46398,1.71747,0.7528,0.80819,2.85847e-05,2.85847e-05,2.85847e-05
75,2456.63,1.6334,0.62373,0.79998,0.94807,0.89109,0.90774,0.46486,1.7257,0.74393,0.80968,2.36769e-05,2.36769e-05,2.36769e-05
76,2489.08,1.64364,0.62592,0.79762,0.9409,0.88119,0.90797,0.46767,1.704,0.73106,0.81092,1.95113e-05,1.95113e-05,1.95113e-05
77,2521.35,1.62345,0.64332,0.78544,0.94399,0.88119,0.89943,0.46264,1.73092,0.73385,0.81031,1.60943e-05,1.60943e-05,1.60943e-05
78,2553.63,1.63738,0.64689,0.80889,0.93169,0.90099,0.90913,0.46721,1.72927,0.74089,0.80818,1.34311e-05,1.34311e-05,1.34311e-05
79,2586.01,1.57132,0.61129,0.80027,0.95366,0.89109,0.91437,0.4634,1.73234,0.73225,0.81081,1.15259e-05,1.15259e-05,1.15259e-05
80,2618.38,1.60452,0.63159,0.79198,0.94375,0.90099,0.91472,0.45776,1.72389,0.73204,0.80925,1.03816e-05,1.03816e-05,1.03816e-05
